case,request_id,decision_date,hard_regime,uncertainty_bucket,qwen_residual,expected_residual,llama_residual,valid_json_contract,expected_action_agreement,all_required_citations,selected_action_tool_eligible,semantic_accept,citation_count,latency_seconds,error
1,corrected_pre2024-000098:decision,2021-04-08,bull,moderate_confidence,0.0,0.0,0.0,True,True,False,True,True,0,94.87173545919359,
2,corrected_pre2024-000099:decision,2021-04-09,bull,moderate_confidence,0.25,0.0,0.0,True,True,False,True,True,1,91.16809303686023,
3,corrected_pre2024-000212:decision,2021-07-31,mix,transition,0.25,0.0,0.0,True,True,False,True,True,1,95.86081603355706,
4,corrected_pre2024-000215:decision,2021-08-03,bear,moderate_confidence,0.0,0.0,0.0,True,True,False,True,True,0,70.27218573540449,
5,corrected_pre2024-000267:decision,2021-09-24,bear,moderate_confidence,0.25,0.0,0.0,True,True,False,True,True,1,94.18300060741603,
6,corrected_pre2024-000285:decision,2021-10-12,mix,low_confidence,0.0,0.0,0.0,True,True,False,True,True,0,76.0537896193564,
7,corrected_pre2024-000317:decision,2021-11-13,bull,low_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,102.924949856475,
8,corrected_pre2024-000426:decision,2022-03-02,bear,moderate_confidence,0.0,0.0,0.0,True,True,False,True,True,1,89.87841763533652,
9,corrected_pre2024-000469:decision,2022-04-14,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,98.25421811267734,
10,corrected_pre2024-000472:decision,2022-04-17,bear,transition,0.0,0.0,0.0,True,True,False,True,True,1,101.70235053263605,
11,corrected_pre2024-000591:decision,2022-08-14,bear,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,113.65785648673773,
12,corrected_pre2024-000663:decision,2022-10-25,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,113.0689995251596,
13,corrected_pre2024-000714:decision,2022-12-15,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,107.16572684049606,
14,corrected_pre2024-000720:decision,2022-12-21,bear,moderate_confidence,0.0,0.0,0.0,True,True,False,True,True,1,117.47756033949554,
15,corrected_pre2024-000722:decision,2022-12-23,bear,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,119.15784840658307,
16,corrected_pre2024-000729:decision,2022-12-30,bear,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,128.57651142030954,
17,corrected_pre2024-000776:decision,2023-02-15,bull,transition,-0.25,0.0,0.0,True,True,False,True,True,1,97.1807840615511,
18,corrected_pre2024-000787:decision,2023-02-26,mix,low_confidence,0.0,0.0,0.0,True,True,False,True,True,1,104.02437794022262,
19,corrected_pre2024-000804:decision,2023-03-15,mix,low_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,98.79873106442392,
20,corrected_pre2024-000814:decision,2023-03-25,bull,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,107.54439229890704,
21,corrected_pre2024-000847:decision,2023-04-27,bull,transition,-0.25,0.0,0.0,True,True,False,True,True,1,108.53417933546007,
22,corrected_pre2024-000852:decision,2023-05-02,mix,transition,0.0,0.0,0.0,True,True,False,True,True,1,137.95707920752466,
23,corrected_pre2024-000904:decision,2023-06-23,mix,low_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,95.22570171393454,
24,corrected_pre2024-000908:decision,2023-06-27,mix,transition,0.0,0.0,0.0,True,True,False,True,True,1,76.93683237023652,
25,corrected_pre2024-000928:decision,2023-07-17,bull,moderate_confidence,0.25,0.25,0.25,True,True,False,True,False,1,63.992811819538474,
26,corrected_pre2024-000932:decision,2023-07-21,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,58.94973022304475,
27,corrected_pre2024-000970:decision,2023-08-28,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,66.37039993330836,
28,corrected_pre2024-001010:decision,2023-10-07,mix,moderate_confidence,-0.25,0.0,0.0,True,True,False,True,True,1,72.12498214840889,
29,corrected_pre2024-001022:decision,2023-10-19,mix,transition,0.0,0.0,0.0,True,True,False,True,True,1,79.09648027643561,
30,corrected_pre2024-001024:decision,2023-10-21,bull,transition,-0.25,0.0,0.0,True,True,False,True,True,1,65.5638656578958,
