key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-qwen3-coder_30b-s0884-exposed,1,qwen3-coder:30b,884,exposed,exposed,1,2024-06-02,2024-06-03,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,21.089794382452965,1956,136,stop,7790bf7a3a95b64f2f0f1df324a4c04923831a44c35981c5d1f47f50dadbd79c,fbc43eb7122d5b03dc0089a4a438943e00189d5e1c4d4392b749a546b318871b,False,ABSTAIN,0.8954245877506227,TRANSITION_RISK|MEMORY_SUPPORT|MIXED_OR_UNCERTAIN,episode-001246|episode-001247|episode-001122|episode-001241|episode-001131,0.4535147648038835,0.45
r1-qwen3-coder_30b-s0884-hidden,1,qwen3-coder:30b,884,hidden,exposed,2,2024-06-02,2024-06-03,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.667584778741002,1170,65,stop,1489b2b499cd33f66a49d6e57d5b5053e8f25ae70c2e11dae3cbdeff24e5b8ee,98feedeee6744e82e2235f979ca2d12cd5371139c45c4424043edae98dc7956a,False,ABSTAIN,0.8954245877506227,DRAWDOWN_RISK|MIXED_OR_UNCERTAIN,,0.4535147648038835,0.45
r1-qwen3-coder_30b-s0166-hidden,1,qwen3-coder:30b,166,hidden,hidden,3,2022-06-15,2022-06-16,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8354472685605288,1172,69,stop,b452c7b0ed2a869902492313d6b1d3256fa22cd6bebeb811515813656d9b7aa3,3ea96fc8cf838bd0c487cb16d6569f6fec369a3663e90f536a7e86c07dc1d1de,False,CASH,0.999999998654752,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,,0.40979430844029213,0.4
r1-qwen3-coder_30b-s0166-exposed,1,qwen3-coder:30b,166,exposed,hidden,4,2022-06-15,2022-06-16,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.8995948433876038,1947,132,stop,8ce5a6f5a9f815dd3a14d2145f6abc8eb52f0ae204464c234db45e50db3f9cd2,e3ea1ec5d3411e197199d4981fb72889924f46db33661d7cf2c23c7c1269743c,False,CASH,0.999999998654752,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,episode-000529|episode-000530|episode-000172|episode-000139|episode-000496,0.40979430844029213,0.4
r1-qwen3-coder_30b-s0814-hidden,1,qwen3-coder:30b,814,hidden,hidden,5,2024-03-24,2024-03-25,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.0088114719837904,1166,87,stop,85303c0d4c91c2ae694366f5458d64f20aa695907e7411a52c773afe201a2584,63423f2f54eb229cbf0243593cc78844e171ec0ae93ab07088de3acbeb948af9,False,BTC,0.999915955521056,HIGH_VOLATILITY|POSITIVE_MOMENTUM|HIGH_VOLATILITY|POSITIVE_MOMENTUM,,0.47524307759205076,0.5
r1-qwen3-coder_30b-s0814-exposed,1,qwen3-coder:30b,814,exposed,hidden,6,2024-03-24,2024-03-25,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.794019989669323,1975,120,stop,7d841a8535072bd6342d5ce841ac6f78b1b41fb31d3c17b622a6448953d061ac,ee3b176c9800c331103deb187a38d34822f1d294ada94276797ac3b5d7ac56f6,False,BTC,0.999915955521056,HIGH_VOLATILITY|BULLISH_ROUTER|POSITIVE_MOMENTUM,episode-001178|episode-000296|episode-000295|episode-000827,0.47524307759205076,0.5
r1-qwen3-coder_30b-s0449-exposed,1,qwen3-coder:30b,449,exposed,exposed,7,2023-03-25,2023-03-26,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.828018669039011,1874,134,stop,61fc9fa85ccb7602e4b70112dd5239e9ce2a215367b561d57f03bc4af14b8607,487d4e58bd722e0fe6a51a0038e1617e819c5e50d825d84f1be430ab03afce07,False,BTC,0.7027351666924005,HIGH_VOLATILITY|BULLISH_ROUTER|POSITIVE_MOMENTUM,episode-000317|episode-000098|episode-000101|episode-000776|episode-000099,0.49600413310142283,0.5
r1-qwen3-coder_30b-s0449-hidden,1,qwen3-coder:30b,449,hidden,exposed,8,2023-03-25,2023-03-26,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.7624007277190685,1165,77,stop,e04068559f54393cbf67ca8e7e7cd067222ccd1b3f15805040e9669a1fb2c7d1,82e1bb554c387fd6e43f499cfbe2fd9f953e778f2e639f9429dc4e19a5f355b1,False,BTC,0.7027351666924005,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER,,0.49600413310142283,0.5
r1-qwen3-coder_30b-s0695-hidden,1,qwen3-coder:30b,695,hidden,hidden,9,2023-11-26,2023-11-27,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.9878987595438957,1169,87,stop,307d0e5341396a354170175abe1bcd72d6b0ed68f73c0cae7a16c8ec6c899112,8b956549e820731c1105b9991c4df1191cb083c0af88902d6cf76ee5c1ab0234,False,BTC,0.999445983308852,HIGH_VOLATILITY|POSITIVE_MOMENTUM|HIGH_VOLATILITY|POSITIVE_MOMENTUM,,0.48590911941093223,0.5
r1-qwen3-coder_30b-s0695-exposed,1,qwen3-coder:30b,695,exposed,hidden,10,2023-11-26,2023-11-27,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.964854435995221,1940,140,stop,132119152d45c5f707986abadbada7e06ed8ae21bfabee7706b1aedba2c9a913,91a2631f7016b7b0653789a8ee6286d1a5bda5ff4442ee8226c7c494b023d37f,False,BTC,0.999445983308852,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER|HIGH_VOLATILITY,episode-000837|episode-001056|episode-000838|episode-001057|episode-001058,0.48590911941093223,0.5
