model,comparison,repeat_a,repeat_b,condition_a,condition_b,state_index,decision_date,regime,all_responses_valid_for_state,advice_disagreement,desired_disagreement,execution_disagreement,abstention_difference,exposure_difference,confidence_absolute_difference,reason_set_disagreement,citation_set_disagreement
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,0,2021-12-31,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,1,2022-01-01,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,2,2022-01-02,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,3,2022-01-03,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,4,2022-01-04,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,5,2022-01-05,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,6,2022-01-06,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,7,2022-01-07,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,8,2022-01-08,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,9,2022-01-09,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,10,2022-01-10,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,11,2022-01-11,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,12,2022-01-12,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,13,2022-01-13,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,14,2022-01-14,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,15,2022-01-15,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,16,2022-01-16,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,17,2022-01-17,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,18,2022-01-18,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,19,2022-01-19,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,20,2022-01-20,bear,True,0,0,0,0,0.0,0.0,0,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,21,2022-01-21,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,22,2022-01-22,bear,True,0,0,0,0,0.0,0.0,1,0
qwen3-coder:30b,within_exposed,1,2,exposed,exposed,23,2022-01-23,bear,True,0,0,0,0,0.0,0.0,0,0
